arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A4,Abilene.gml,500,0,0,0,0.7603326251312421,0.4528365801974848,0.259192510748189,1.0863636363636362
A4,Abilene.gml,500,0,0,1,0.8016750015985682,0.5234955638018861,0.25896527358309673,0.6745454545454547
A4,Abilene.gml,500,0,0,2,0.7933658985896946,0.5716090669729366,0.2589410083436512,0.6636363636363637
A4,Abilene.gml,500,0,0,3,0.7934012543888452,0.4820070094485134,0.2588169605663127,0.5145454545454545
A4,Abilene.gml,500,0,0,4,0.7852952197746085,0.5584021965813334,0.2587178892661988,0.6772727272727274
A4,Abilene.gml,500,0,0,5,0.8263586904366828,0.4812418456054782,0.25863520851846045,0.5381818181818182
A4,Abilene.gml,500,0,0,6,0.8262986153575714,0.4766391360796304,0.2585326469695181,0.5754545454545456
A4,Abilene.gml,500,0,0,7,0.8099532761906049,0.5033245403447457,0.25847675286209665,0.6145454545454545
A4,Abilene.gml,500,0,0,8,0.8099495066333467,0.5291448656528319,0.25853111338156376,0.6309090909090909
A4,Abilene.gml,500,0,0,9,0.8181631784481272,0.5090407251694079,0.25850648270541865,0.5854545454545454
A4,Abilene.gml,500,0,0,10,0.8099857846378744,0.5104878724056204,0.258417323081697,0.5990909090909091
A4,Abilene.gml,500,0,0,11,0.7850405705978184,0.55069898123076,0.2583540141062459,0.6336363636363636
A4,Abilene.gml,500,0,0,12,0.8182180253372984,0.5461510220910126,0.25834740398416745,0.6381818181818182
A4,Abilene.gml,500,0,0,13,0.7933899590984328,0.4972657477898034,0.25844399901381254,0.5527272727272727
A4,Abilene.gml,500,0,0,14,0.8016561850562431,0.5299186400928533,0.2585987148224173,0.63
A4,Abilene.gml,500,0,0,15,0.8181900581766037,0.5066071762965317,0.2583455472666743,0.6000000000000001
A4,Abilene.gml,500,0,0,16,0.768525118146562,0.46211850705830954,0.2584311238587756,0.4954545454545455
A4,Abilene.gml,500,0,0,17,0.8016234768244697,0.47784822644338226,0.2582602822359614,0.5990909090909091
A4,Abilene.gml,500,0,0,18,0.7768781561563372,0.47582480562206064,0.25841956192699755,0.5618181818181818
A4,Abilene.gml,500,0,0,19,0.785170287711512,0.520098864194305,0.25863016183793186,0.6254545454545454
A4,Abilene.gml,500,0,0,20,0.785097075720996,0.4822919162956673,0.25844904890761655,0.55
A4,Abilene.gml,500,0,0,21,0.8017371077680359,0.5905086577745915,0.2586060119771236,0.740909090909091
A4,Abilene.gml,500,0,0,22,0.8179230962279571,0.49766323213083813,0.2586987834201515,0.5263636363636364
A4,Abilene.gml,500,0,0,23,0.8347105788839404,0.5048555639136204,0.25855060695112575,0.6172727272727273
A4,Abilene.gml,500,0,0,24,0.8181445499134189,0.5011126789347332,0.2587065129254876,0.6027272727272728
A4,Abilene.gml,500,0,0,25,0.7852457346224178,0.5090963820194826,0.2589885794139218,0.5836363636363635
A4,Abilene.gml,500,0,0,26,0.7520337634751599,0.5137550475590229,0.2591548453677681,0.579090909090909
A4,Abilene.gml,500,0,0,27,0.8429462627340989,0.4909031617190305,0.25918558328490077,0.6172727272727273
A4,Abilene.gml,500,0,0,28,0.768646862962936,0.5547469365320278,0.25922006337133274,0.6536363636363636
A4,Abilene.gml,500,0,0,29,0.8016298471441039,0.509810340468666,0.2595602215732209,0.5772727272727273
A4,Abilene.gml,500,0,0,30,0.8099346883155852,0.5072959709497739,0.25977670283393767,0.6018181818181819
A4,Abilene.gml,500,0,0,31,0.7688974243961417,0.47759806311099234,0.26016089240663054,0.5263636363636363
A4,Abilene.gml,500,0,0,32,0.8099143006197732,0.5266800689019774,0.260063031928841,0.6736363636363636
A4,Abilene.gml,500,0,0,33,0.793161326611274,0.4884052830783922,0.2603837877831802,0.5427272727272728
A4,Abilene.gml,500,0,0,34,0.809952686880991,0.46906846025216103,0.26031215087448817,0.5672727272727273
A4,Abilene.gml,500,0,0,35,0.7933121923358389,0.5227624004297237,0.26026743376896416,0.6399999999999999
A4,Abilene.gml,500,0,0,36,0.8014370716465883,0.5127392815103965,0.2602474260585042,0.6045454545454545
A4,Abilene.gml,500,0,0,37,0.7852581140063557,0.5028269216047453,0.26065569195384986,0.5781818181818182
A4,Abilene.gml,500,0,0,38,0.8099561037892662,0.47369802844626124,0.2608572789352499,0.5718181818181818
A4,Abilene.gml,500,0,0,39,0.8016316472486129,0.499430531208667,0.26131678540771924,0.6190909090909092
A4,Abilene.gml,500,0,0,40,0.7933864679296253,0.475271475698926,0.26180237760808206,0.5563636363636363
A4,Abilene.gml,500,0,0,41,0.7850645191521309,0.4557506125038838,0.2617535669759707,0.5463636363636364
A4,Abilene.gml,500,0,0,42,0.7687910078196737,0.4760369067249966,0.26216917668599016,0.5818181818181819
A4,Abilene.gml,500,0,0,43,0.8017934528171513,0.4843452189685934,0.2624807032647961,0.5981818181818181
A4,Abilene.gml,500,0,0,44,0.8266097352301902,0.5267185521844404,0.2627496432553046,0.6636363636363637
